Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2017","2017","ha","58","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2017","2017","kg/ha","6218.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2017","2017","t","360.67","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2018","2018","ha","70","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2018","2018","kg/ha","6298.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2018","2018","t","440.89","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2019","2019","ha","67","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2019","2019","kg/ha","6017.8","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2019","2019","t","401.19","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2021","2021","ha","67","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2021","2021","kg/ha","6167","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2021","2021","t","414.33","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2022","2022","ha","70","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2022","2022","kg/ha","5714.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2022","2022","t","400","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01211","Asparagus","2023","2023","ha","70","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01211","Asparagus","2023","2023","kg/ha","5714.3","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01211","Asparagus","2023","2023","t","400","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01311","Avocados","2017","2017","ha","16460","A","Official figure",""
